timestamp,temperature_C,solar_radiation_W_m2,wind_speed_m_s,humidity_percent
2016-01-21 08:00:00,-27.77,246.25,2.14,64.84
2016-01-21 09:00:00,-23.62,466.23,2.2,68.67
2016-01-21 10:00:00,-19.83,526.17,1.94,74.36
2016-01-21 11:00:00,-15.81,676.58,0.98,63.71
2016-01-21 12:00:00,-11.71,591.17,0.89,43.76
2016-01-21 13:00:00,-10.81,565.6,1.82,44.61
2016-01-21 14:00:00,-10.91,404.17,2.17,44.61
2016-01-21 15:00:00,-11.64,207.8,1.92,51.8
2016-01-21 16:00:00,-13.68,53.0,1.39,53.79
2016-01-21 17:00:00,-15.78,0.0,1.2,42.11
2016-01-21 18:00:00,-17.07,0.0,0.92,42.02
2016-01-21 19:00:00,-17.93,0.0,0.7,43.33
2016-01-21 20:00:00,-19.06,0.0,0.67,46.57
2016-01-21 21:00:00,-20.26,0.0,0.78,50.37
2016-01-21 22:00:00,-21.43,0.0,1.01,55.34
2016-01-21 23:00:00,-22.49,0.0,1.27,60.19
2016-01-22 00:00:00,-23.52,0.0,1.53,65.3
2016-01-22 01:00:00,-24.6,0.0,1.77,69.81
2016-01-22 02:00:00,-25.76,0.0,2.0,75.17
2016-01-22 03:00:00,-26.83,0.0,2.12,80.16
2016-01-22 04:00:00,-27.83,0.0,2.21,84.81
2016-01-22 05:00:00,-28.75,0.0,2.3,88.89
2016-01-22 06:00:00,-29.58,0.0,2.38,92.18
2016-01-22 07:00:00,-29.84,61.45,2.43,89.91
2016-01-22 08:00:00,-28.09,235.62,2.33,83.23
2016-01-22 09:00:00,-23.39,431.77,2.54,78.52
2016-01-22 10:00:00,-19.49,590.12,2.28,84.1
2016-01-22 11:00:00,-14.95,635.25,1.83,66.17
2016-01-22 12:00:00,-11.35,692.05,0.76,43.57
2016-01-22 13:00:00,-9.98,604.2,0.6,38.88
2016-01-22 14:00:00,-9.56,423.15,1.61,38.48
2016-01-22 15:00:00,-10.27,242.07,1.84,49.83
2016-01-22 16:00:00,-12.4,73.05,1.58,48.28
2016-01-22 17:00:00,-14.43,0.0,1.42,33.91
2016-01-22 18:00:00,-15.88,0.0,1.09,32.65
2016-01-22 19:00:00,-16.94,0.0,0.82,34.03
2016-01-22 20:00:00,-18.23,0.0,0.79,36.89
2016-01-22 21:00:00,-19.27,0.0,0.93,39.02
2016-01-22 22:00:00,-20.29,0.0,1.1,43.02
2016-01-22 23:00:00,-21.25,0.0,1.34,46.17
2016-01-23 00:00:00,-22.18,0.0,1.61,50.52
2016-01-23 01:00:00,-23.29,0.0,1.86,55.06
2016-01-23 02:00:00,-24.44,0.0,2.06,60.25
2016-01-23 03:00:00,-25.36,0.0,2.12,64.49
2016-01-23 04:00:00,-26.18,0.0,2.17,66.69
2016-01-23 05:00:00,-27.02,0.0,2.22,70.81
2016-01-23 06:00:00,-27.79,0.0,2.27,74.68
2016-01-23 07:00:00,-28.04,78.15,2.31,74.65
2016-01-23 08:00:00,-26.44,284.08,2.19,68.64
2016-01-23 09:00:00,-22.18,440.98,2.29,70.83
2016-01-23 10:00:00,-18.4,589.05,2.04,76.58
2016-01-23 11:00:00,-14.13,691.17,1.08,58.21
2016-01-23 12:00:00,-10.89,670.22,0.86,43.75
2016-01-23 13:00:00,-10.03,529.1,1.64,44.47
2016-01-23 14:00:00,-9.96,432.17,2.06,44.54
2016-01-23 15:00:00,-10.63,253.0,1.91,53.0
2016-01-23 16:00:00,-12.59,73.7,1.36,54.59
2016-01-23 17:00:00,-14.56,0.0,1.19,43.59
2016-01-23 18:00:00,-16.32,0.0,0.97,46.21
2016-01-23 19:00:00,-17.6,0.0,0.85,49.23
2016-01-23 20:00:00,-18.48,0.0,0.89,52.72
2016-01-23 21:00:00,-19.49,0.0,1.04,56.32
2016-01-23 22:00:00,-20.53,0.0,1.23,60.29
2016-01-23 23:00:00,-21.37,0.0,1.42,64.32
2016-01-24 00:00:00,-22.19,0.0,1.55,69.61
2016-01-24 01:00:00,-23.04,0.0,1.66,74.41
2016-01-24 02:00:00,-23.91,0.0,1.81,79.72
2016-01-24 03:00:00,-24.58,0.0,1.86,85.19
2016-01-24 04:00:00,-25.26,0.0,1.93,89.66
2016-01-24 05:00:00,-25.85,0.0,1.96,93.54
2016-01-24 06:00:00,-26.42,0.0,1.97,95.72
2016-01-24 07:00:00,-26.59,68.68,2.0,92.23
2016-01-24 08:00:00,-24.99,250.27,1.88,81.53
2016-01-24 09:00:00,-21.06,438.5,2.15,79.58
2016-01-24 10:00:00,-17.04,595.75,1.54,77.57
2016-01-24 11:00:00,-12.28,597.65,0.31,53.1
2016-01-24 12:00:00,-9.74,649.45,1.23,45.07
2016-01-24 13:00:00,-9.22,604.65,2.16,46.03
2016-01-24 14:00:00,-9.49,445.5,2.81,47.12
2016-01-24 15:00:00,-10.5,236.23,2.55,56.43
2016-01-24 16:00:00,-12.91,70.55,1.64,61.7
2016-01-24 17:00:00,-14.8,0.0,1.17,48.93
2016-01-24 18:00:00,-16.35,0.0,0.6,52.03
2016-01-24 19:00:00,-17.62,0.0,0.86,57.19
2016-01-24 20:00:00,-19.14,0.0,1.27,63.55
2016-01-24 21:00:00,-20.19,0.0,1.26,69.35
2016-01-24 22:00:00,-21.15,0.0,1.23,75.08
2016-01-24 23:00:00,-22.04,0.0,1.36,80.74
2016-01-25 00:00:00,-22.99,0.0,1.68,86.16
2016-01-25 01:00:00,-23.99,0.0,1.93,91.03
2016-01-25 02:00:00,-24.86,0.0,2.1,94.84
