timestamp,outdoor_temperature_C,earth_skin_temperature_C,solar_radiation_W_m2,wind_speed_m_s,humidity_percent,Q_solar_W,Q_wall_W,Q_window_W,Q_roof_W,Q_floor_W,Q_infiltration_W,Q_total_loss_W,Q_internal_W,Q_net_W,indoor_temperature_C
2016-01-19 17:00:00,-16.33,-3.58,0.0,2.27,68.85,0.0,171.81811123740604,169.0738642464152,221.6979586391918,153.15909321306242,264.3188077718957,980.0678351079712,450.0,-530.0678351079712,0.3111744597897832
2016-01-19 18:00:00,-17.44,-3.58,0.0,2.36,57.35,0.0,181.83609085727517,178.93183855468104,234.6242189467867,148.1329863313076,279.73010760715124,1023.2552422972017,450.0,-573.2552422972017,0.16839122147942626
2016-01-19 19:00:00,-18.18,-3.58,0.0,2.32,49.39,0.0,187.9537458657411,184.9517835125126,242.51786657955412,142.69737615563054,289.1412882245613,1047.2620603379996,450.0,-597.2620603379996,0.01962849799653682
2016-01-19 20:00:00,-19.01,-3.58,0.0,2.27,43.58,0.0,194.93207417797353,191.8186552598051,251.52204623438902,137.03413316510952,299.87649772282856,1075.1834065601058,450.0,-625.1834065601058,-0.13608871964082572
2016-01-19 21:00:00,-20.02,-3.58,0.0,2.24,39.85,0.0,203.68301299519803,200.4298257060205,262.813436053443,131.106139776432,313.33862752041193,1111.3710420515054,450.0,-661.3710420515054,-0.3008193529454418
2016-01-19 22:00:00,-21.06,-3.58,0.0,2.19,36.04,0.0,212.64893017704605,209.25254092230992,274.3822137697646,124.83501497752523,327.13147230854446,1148.2501721551903,450.0,-698.2501721551903,-0.47473563556252096
2016-01-19 23:00:00,-22.15,-3.58,0.0,2.14,34.5,0.0,222.03293360984674,218.48666479352977,286.49045072995625,118.21420201168885,341.5674859605515,1186.7917371055732,450.0,-736.7917371055732,-0.6582516375491293
2016-01-20 00:00:00,-23.31,-3.58,0.0,2.12,32.41,0.0,232.03565390227865,228.32962349350478,299.3970218341332,111.22793766019865,356.9553113948457,1227.945548284961,450.0,-777.945548284961,-0.8520180027168205
2016-01-20 01:00:00,-24.39,-3.58,0.0,2.06,31.9,0.0,241.11388476013985,237.26285853261444,311.11071857278637,103.8514525862286,370.9209355059872,1264.2598499577564,450.0,-814.2598499577564,-1.0548293328621416
2016-01-20 02:00:00,-25.23,-3.58,0.0,1.88,30.17,0.0,247.64099636773395,243.6857203247496,319.53269055695256,96.13063505242053,380.96200944102515,1287.9520517428818,450.0,-837.9520517428818,-1.2635417853068884
